Layer,Name,GEOID,Longitude,Latitude,TRF_2023
,,,,,"Traffic intensity (distance-weighted vehicles), 2023"
Census tract,Tract 511,17031051100,-87.68082660,41.94136520,118.1082457
Census tract,Tract 512,17031051200,-87.67595360,41.94142240,100.12280454875396
Census tract,Tract 513,17031051300,-87.67583950,41.93599710,66.0833983954902
Census tract,Tract 514,17031051400,-87.68095940,41.93544200,83.9777598991814
Census tract,Tract 601,17031060100,-87.66661120,41.95753110,277.2448496026855
Census tract,Tract 602,17031060200,-87.67151750,41.95790360,337.7569977193255
Census tract,Tract 603,17031060300,-87.67133270,41.95060490,377.06408300286085
Census tract,Tract 604,17031060400,-87.66653640,41.95067310,329.0732192553788
Census tract,Tract 605,17031060500,-87.66050080,41.95272000,109.6740189
Census tract,Tract 608,17031060800,-87.64264890,41.95395900,2074.1649166793204
Census tract,Tract 609,17031060900,-87.64177840,41.95151660,1636.8033782734235
Census tract,Tract 610,17031061000,-87.65197030,41.94922060,127.64102
Census tract,Tract 611,17031061100,-87.65680350,41.94913980,33.02571818
Census tract,Tract 612,17031061200,-87.66164270,41.94905990,40.75172631
Census tract,Tract 615,17031061500,-87.66154470,41.94528180,33.96380234
Census tract,Tract 618,17031061800,-87.64711470,41.94649010,576.256864
Census tract,Tract 619.01,17031061901,-87.64346790,41.94323050,1083.6632357412411
Census tract,Tract 619.02,17031061902,-87.63906450,41.94669850,2371.006399867524
Census tract,Tract 620,17031062000,-87.64707860,41.94257690,187.1006452769257
Census tract,Tract 621,17031062100,-87.65177040,41.94269140,138.17241126194395
Census tract,Tract 622,17031062200,-87.65664400,41.94258470,73.21096501644881
Census tract,Tract 623,17031062300,-87.66144320,41.94162780,96.75977348
Census tract,Tract 624,17031062400,-87.66628820,41.94155560,275.9578089
Census tract,Tract 625,17031062500,-87.67110730,41.94148800,320.6789348
Census tract,Tract 626,17031062600,-87.67098430,41.93597510,269.5088367
Census tract,Tract 627,17031062700,-87.66611030,41.93608620,307.2684648869036
Census tract,Tract 628,17031062800,-87.66126480,41.93615860,75.44152221792781
Census tract,Tract 629,17031062900,-87.65641130,41.93623700,64.29209683795393
Census tract,Tract 630,17031063000,-87.65156170,41.93631020,120.93357223254608
Census tract,Tract 631,17031063100,-87.64677990,41.93823190,181.34196593333328
Census tract,Tract 632,17031063200,-87.63467260,41.93892310,1094.1871158516956
Census tract,Tract 633.01,17031063301,-87.64302390,41.93454070,16.780771556452525
Census tract,Tract 633.02,17031063302,-87.63985400,41.93476470,364.7527858808608
Census tract,Tract 633.03,17031063303,-87.63466130,41.93473120,672.7286685023548
Census tract,Tract 634,17031063400,-87.64673000,41.93465960,68.01383292369053
Census tract,Tract 701.01,17031070101,-87.63232470,41.92952250,87.92659923338766
Census tract,Tract 701.02,17031070102,-87.64220200,41.93058280,28.05674422646099
Census tract,Tract 701.03,17031070103,-87.64260510,41.92681100,174.5950415801626
Census tract,Tract 702,17031070200,-87.64629300,41.92907770,143.76653824058573
Census tract,Tract 703,17031070300,-87.65131030,41.92904620,143.08188874411127
Census tract,Tract 704,17031070400,-87.65615630,41.92896720,44.40284501126769
Census tract,Tract 705,17031070500,-87.66089220,41.92894550,65.66652624531005
Census tract,Tract 706,17031070600,-87.66567660,41.92876270,289.81247620234853
Census tract,Tract 707,17031070700,-87.67410380,41.93065210,297.00619534963505
Census tract,Tract 710,17031071000,-87.65591140,41.92170110,76.32382015910032
Census tract,Tract 711,17031071100,-87.65106140,41.92177780,143.4544389088774
Census tract,Tract 712,17031071200,-87.64621060,41.92185470,262.4758933683148
Census tract,Tract 713,17031071300,-87.64145780,41.92177940,76.21554354932957
Census tract,Tract 714,17031071400,-87.62952590,41.92272550,201.65454944607217
Census tract,Tract 715,17031071500,-87.62509230,41.91424150,207.935080209731
Census tract,Tract 716,17031071600,-87.64118230,41.91647220,30.42248127
Census tract,Tract 717,17031071700,-87.64107170,41.91286660,164.7848694604458
Census tract,Tract 718,17031071800,-87.64596600,41.91458550,203.50081036266965
Census tract,Tract 801,17031080100,-87.62679000,41.90754870,3144.6214431537246
Census tract,Tract 802.01,17031080201,-87.63100510,41.90949760,941.6754459088592
Census tract,Tract 802.02,17031080202,-87.63090100,41.90585890,710.991294104781
Census tract,Tract 803,17031080300,-87.63579870,41.90748990,230.483292365721
Census tract,Tract 804,17031080400,-87.64090150,41.90741230,153.19686128384768
Census tract,Tract 810,17031081000,-87.63210890,41.90026550,338.117106539458
Census tract,Tract 811,17031081100,-87.62910490,41.90022110,532.2363218792931
Census tract,Tract 812.01,17031081201,-87.62621200,41.89915380,661.4442171480118
Census tract,Tract 812.02,17031081202,-87.62423740,41.90437690,1531.0853279547216
Census tract,Tract 813,17031081300,-87.62075310,41.89833540,1870.1812138397115
Census tract,Tract 814.01,17031081401,-87.61971750,41.89503470,3102.904304167464
Census tract,Tract 814.02,17031081402,-87.61293100,41.89102150,2947.381091639535
Census tract,Tract 814.03,17031081403,-87.62095600,41.89299080,1931.007656936808
Census tract,Tract 815,17031081500,-87.62607870,41.89290640,1068.004024962346
Census tract,Tract 816,17031081600,-87.62887080,41.89205720,932.5159017761998
Census tract,Tract 817,17031081700,-87.63183160,41.89221850,832.3219451957556
Census tract,Tract 818,17031081800,-87.63918950,41.89332430,1003.52173458973
Census tract,Tract 819,17031081900,-87.64148700,41.89799000,514.0836628
Census tract,Tract 901,17031090100,-87.81358720,42.01525520,281.15128349336965
Census tract,Tract 902,17031090200,-87.81309610,42.00559400,235.0099270312405
Census tract,Tract 903,17031090300,-87.81636440,41.99911270,148.8454545
Census tract,Tract 1001,17031100100,-87.78301360,41.98958400,240.0377028802185
Census tract,Tract 1002,17031100200,-87.79425890,41.99577340,203.63084109899916
Census tract,Tract 1003,17031100300,-87.80425970,41.98873300,510.0112460447057
Census tract,Tract 1004,17031100400,-87.81804110,41.98896870,438.1226686464109
Census tract,Tract 1005,17031100500,-87.81973140,41.97804530,506.8448643187573
Census tract,Tract 1006,17031100600,-87.79740070,41.97920490,677.3507952444354
Census tract,Tract 1007,17031100700,-87.79762950,41.97212350,289.4034659288766
Census tract,Tract 1101,17031110100,-87.76967290,41.98747560,149.04254251835127
Census tract,Tract 1102,17031110200,-87.77344420,41.98006990,436.71601288261184
Census tract,Tract 1103,17031110300,-87.78323490,41.97529070,453.1983879775617
Census tract,Tract 1104,17031110400,-87.77261140,41.97295360,671.9751274718708
Census tract,Tract 1105.01,17031110501,-87.76192490,41.97700230,351.4137341703761
Census tract,Tract 1105.02,17031110502,-87.75985230,41.97028650,813.0608675181678
Census tract,Tract 1201,17031120100,-87.77500650,42.00198170,231.4596363046797
Census tract,Tract 1202,17031120200,-87.75761080,41.99453190,546.391752071904
Census tract,Tract 1203,17031120300,-87.74006600,41.99111220,338.47184046614166
Census tract,Tract 1204,17031120400,-87.75216240,41.97723540,1017.4247122127056
