GEOID,TotalPopulation,WhiteP,BlackP,AsianP,HispP,18to24P,Ovr65P,MHSdP,MedInc,HighRiskJobP,Unemployment,PovP,NoIntP
17031010100,4284.0,44.70121381886088,32.11951447245565,2.1942110177404297,21.475256769374415,15.989729225023343,12.861811391223156,22.61904761904762,36610.0,9.421921921921921,9.76915356306457,18.678526048284624,7.795004306632213
17031010201,8210.0,25.420219244823386,36.65042630937881,3.6297198538367845,24.397076735688184,11.412911084043849,9.00121802679659,40.65190651906519,35407.0,16.481994459833796,4.088541666666667,28.17783343769568,9.775429326287979
17031010202,2865.0,31.134380453752183,32.98429319371728,10.890052356020943,19.406631762652705,10.855148342059337,13.43804537521815,30.828889966068832,29590.0,12.734082397003744,8.914209115281501,22.928709055876684,6.541291905151267
17031010300,6237.0,53.59948693282027,23.617123617123617,5.419272085938752,16.93121693121693,8.866442199775532,24.33862433862434,25.777000777000776,37530.0,14.699792960662526,4.030655691172297,2.2350993377483444,7.712504102395799
17031010400,4473.0,79.99105745584619,7.914151576123407,4.761904761904762,8.450704225352112,37.91638721216186,7.7800134138162305,8.15176558978212,34095.0,9.866666666666667,3.2,5.737704918032787,14.285714285714286
17031010501,3913.0,67.26296958855099,20.1635573728597,6.107845642729363,5.877843087145413,9.506772297469972,10.73345259391771,6.792091836734694,34817.0,4.479937670432411,7.511569953720185,5.780346820809249,9.557302441042614
17031010502,3407.0,55.85559142941004,22.042852949809216,4.40270032286469,16.759612562371586,20.281772820663342,3.6982682712063397,15.134633240482822,36703.0,15.179437439379244,4.497955474784189,13.179571663920923,11.188369152970923
17031010503,2417.0,73.72776168804303,15.80471659081506,5.668183698800165,1.2412081092263136,39.26354985519239,24.57592056268101,37.97370456303171,12856.0,5.125815470643057,3.8530465949820787,9.642857142857142,16.653992395437264
17031010600,6379.0,58.42608559335319,20.14422323248158,3.699639441918796,13.952030098761561,12.164916131055024,9.374510111302712,17.736090385845234,36865.0,6.418653392716793,2.547931382441978,6.896551724137931,7.475365273530411
17031010701,3590.0,42.22841225626741,20.83565459610028,6.2674094707520895,30.55710306406685,4.401114206128134,12.479108635097493,30.256410256410255,41862.0,13.87645478961504,3.3030553261767133,7.142857142857143,1.3100436681222707
17031010702,5148.0,30.477855477855478,36.53846153846154,2.36985236985237,34.557109557109555,8.78010878010878,2.6806526806526807,38.496882179192646,36476.0,18.699551569506728,9.472049689440993,17.577197149643705,7.5718015665796345
17031020100,3927.0,30.073847720906546,39.5467277820219,4.303539597657244,26.152279093455565,7.359307359307359,11.611917494270436,38.08891838088918,30642.0,34.87179487179487,9.427748044462742,20.739219712525667,5.658129839189994
17031020200,7203.0,50.45120088851867,6.858253505483826,12.78633902540608,29.737609329446062,6.13633208385395,13.688740802443427,30.439868975198877,43665.0,14.988131570023738,4.605659241420831,2.717391304347826,0.0
17031020301,5432.0,82.12444771723122,2.0618556701030926,9.241531664212076,6.388070692194404,3.405743740795287,25.220913107511045,21.32075471698113,38708.0,23.18840579710145,8.520559559135227,8.080808080808081,15.033860045146726
17031020302,5201.0,73.50509517400499,9.055950778696404,8.209959623149395,12.536050759469333,7.383195539319361,18.688713708902135,24.84599589322382,45740.0,13.783903957314362,10.540970564836913,4.532839962997225,10.195852534562212
17031020400,4256.0,42.83364661654135,19.924812030075188,11.278195488721805,35.31484962406015,6.696428571428571,12.546992481203008,31.540983606557376,39334.0,31.206975676916016,6.421267893660532,6.778169014084507,8.867585380467347
17031020500,6646.0,29.942822750526634,15.708696960577791,34.637375865182065,15.93439662955161,8.019861570869695,12.609088173337346,47.96926454445664,26232.0,29.53328232593726,7.098765432098766,22.929447852760735,13.102206213417379
17031020601,5868.0,51.14178595773688,2.3006134969325154,21.796182685753237,13.786639400136332,4.277436946148603,12.355146557600545,24.97240618101545,35224.0,13.30861145447054,6.796487208858343,14.019337016574585,9.620991253644315
17031020602,5343.0,43.30900243309002,8.85270447314243,25.959198951899683,25.959198951899683,10.424854950402395,12.09058581321355,26.482677627715795,35742.0,15.597982708933717,2.4104683195592287,11.41352063213345,6.803995006242197
17031020701,1728.0,64.93055555555556,10.648148148148149,10.011574074074074,15.219907407407407,4.976851851851852,30.555555555555557,20.699925539836187,47500.0,10.157194679564691,8.433734939759036,0.8264462809917356,1.4397905759162304
17031020702,8412.0,50.8678078934855,3.5425582501188777,30.20684736091298,23.466476462196862,4.184498335710889,15.549215406562054,49.69373641572812,33892.0,26.514215080346105,8.420473307649972,16.736842105263158,18.64679822795006
17031020801,5990.0,45.09181969949916,12.854757929883139,14.641068447412353,32.270450751252085,9.215358931552588,11.585976627712855,45.83044583044583,37420.0,24.770642201834864,2.609144923792302,13.192071086807928,13.701149425287356
17031020802,8715.0,34.584050487664946,6.678141135972461,32.243258749282845,25.42742398164085,10.304073436603558,6.540447504302926,47.448053258018966,31347.0,27.187297472456255,9.951386903059765,15.958066394874782,7.367433129985922
17031020901,6179.0,31.979284673895453,24.097750445055834,22.414630199061335,25.667583751416085,9.580838323353293,8.528888169606732,42.29712858926342,31927.0,24.56629491945477,3.240740740740741,16.689098250336475,5.279927173418297
17031020902,4365.0,37.7319587628866,19.725085910652922,33.333333333333336,14.707903780068728,8.77434135166094,16.174112256586483,48.025078369905955,24640.0,27.0625,2.7151935297515886,15.991692627206646,11.020663744520977
17031030101,3517.0,40.00568666477111,25.87432470855843,21.637759454080182,10.065396644867786,4.43559852146716,21.6946261017913,25.959525471039775,34794.0,23.261694058154234,21.227115289460663,15.843023255813954,11.822178798241328
